ID,X,Y,AANTAL,HOOFDSOORT,ANT_IDS,TWEEG,DRIEG,VIERG,VIJFG,MOBIELE_COMMUNICATIE,OMROEP,OVERIGMOBIEL,VASTE_VERB,ZENDAMATEURS,GEMEENTE,POSTCODE,WOONPLAATSNAAM,SMALL_CELL_INDICATOR
368,90296,405924,3.0,"5G NR, LTE, UMTS","2869254166, 4038531895, 4400404799",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Moerdijk,4793RB,Fijnaart,
369,149672,405519,3.0,"5G NR, LTE, UMTS","4789910878, 7176472497, 8684517814",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Vught,5261NC,Vught,
370,197705,405718,3.0,"5G NR, LTE, UMTS","4581018747, 4697157074, 2213890114",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Bergen,5851AG,Afferden,
372,167564,405680,3.0,"5G NR, LTE, UMTS","4710583568, 5752473535, 8640305237",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Veghel,5464RA,Veghel,
373,118136,406110,3.0,"5G NR, LTE, UMTS","1909020364, 7579647331, 155671023",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Oosterhout,4901KZ,Oosterhout,
375,85485,408608,1.0,VASTE VERB,1271046410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Moerdijk,4794SL,HEIJNINGEN,
376,111036,406182,2.0,"LTE, UMTS","3550272180, 2141290611",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Drimmelen,4844CN,Terheijden,
377,147890,406098,3.0,"5G NR, LTE, UMTS","6639005453, 5278427328, 2468380094",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Vught,5262EN,Vught,
378,176880,406162,3.0,"5G NR, LTE, UMTS","1940716355, 3390222882, 3761198599",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Uden,5409AA,Odiliapeel,
379,100974,406435,3.0,"5G NR, LTE, UMTS","5011559312, 1469906853, 5877895608",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Moerdijk,4761CE,Zevenbergen,
380,85650,406665,3.0,"5G NR, LTE, UMTS","7531344381, 1860535386, 8729638714",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Steenbergen,4671RN,Dinteloord,
381,59353,407194,3.0,"5G NR, LTE, UMTS","7465210192, 956155609, 5949451212",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Schouwen-Duiveland,4306NV,Nieuwerkerk,
382,192541,406433,3.0,"5G NR, LTE, UMTS","2554513488, 9113872902, 3557468812",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Boxmeer,5831DA,Boxmeer,
382,192541,406433,3.0,"5G NR, GSM, LTE","6111900794, 2138269043, 6054068965",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Boxmeer,5831DA,Boxmeer,
383,107239,406544,3.0,"5G NR, LTE, UMTS","6098082858, 4701347772, 6029482080",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Drimmelen,4844PE,Terheijden,
384,73369,445319,1.0,ZENDAMATEURS,115639751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Westland,2671NH,NAALDWIJK,
385,235347,560287,1.0,ZENDAMATEURS,8039088453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Assen,9403JJ,ASSEN,
386,191504,581459,4.0,"VASTE VERB, VASTE VERB, VASTE VERB, VASTE VERB","1659003376, 268832460, 298596835, 194838780",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Tytsjerksteradiel,9254DA,HURDEGARYP,
